id,destination_id,category_id,created_at
1,1,2,2023-11-18 15:17:23.861668+00
2,1,3,2023-11-18 15:17:23.861668+00
3,1,4,2023-11-18 15:17:23.861668+00
4,1,5,2023-11-18 15:17:23.861668+00
5,2,2,2023-11-18 15:18:28.830633+00
6,2,7,2023-11-18 15:18:28.830633+00
7,2,8,2023-11-18 15:18:28.830633+00
8,2,9,2023-11-18 15:18:28.830633+00
9,3,2,2023-11-18 15:19:33.531145+00
10,3,8,2023-11-18 15:19:33.531145+00
11,3,9,2023-11-18 15:19:33.531145+00
12,4,7,2023-11-18 15:20:34.16254+00
13,4,2,2023-11-18 15:20:34.16254+00
14,4,8,2023-11-18 15:20:34.16254+00
15,4,9,2023-11-18 15:20:34.16254+00
16,4,10,2023-11-18 15:20:34.16254+00
17,5,7,2023-11-18 15:22:05.71321+00
18,5,9,2023-11-18 15:22:05.71321+00
19,5,8,2023-11-18 15:22:05.71321+00
20,5,10,2023-11-18 15:22:05.71321+00
21,6,4,2023-11-18 15:23:46.607194+00
22,6,5,2023-11-18 15:23:46.607194+00
23,7,2,2023-11-18 15:24:26.060948+00
24,7,8,2023-11-18 15:24:26.060948+00
25,8,2,2023-11-18 15:25:55.632406+00
26,8,8,2023-11-18 15:25:55.632406+00
27,9,7,2023-11-18 15:27:04.885579+00
28,9,4,2023-11-18 15:27:04.885579+00
29,9,9,2023-11-18 15:27:04.885579+00
30,9,10,2023-11-18 15:27:04.885579+00
31,10,2,2023-11-18 15:28:22.4107+00
32,10,4,2023-11-18 15:28:22.4107+00
33,10,8,2023-11-18 15:28:22.4107+00
34,10,11,2023-11-18 15:28:22.4107+00
35,11,2,2023-11-18 15:29:25.768812+00
36,11,7,2023-11-18 15:29:25.768812+00
37,11,10,2023-11-18 15:29:25.768812+00
38,11,9,2023-11-18 15:29:25.768812+00
39,12,2,2023-11-18 15:29:59.300127+00
40,12,8,2023-11-18 15:29:59.300127+00
41,13,1,2023-11-18 15:31:15.486103+00
42,13,5,2023-11-18 15:31:15.486103+00
43,13,12,2023-11-18 15:31:15.486103+00
44,13,6,2023-11-18 15:31:15.486103+00
45,14,8,2023-11-18 15:32:14.368473+00
46,14,2,2023-11-18 15:32:14.368473+00
47,15,2,2023-11-18 15:32:53.030015+00
48,15,8,2023-11-18 15:32:53.030015+00
49,15,9,2023-11-18 15:32:53.030015+00
50,16,4,2023-11-18 15:33:49.172375+00
51,16,5,2023-11-18 15:33:49.172375+00
52,16,11,2023-11-18 15:33:49.172375+00
53,17,2,2023-11-18 15:35:44.617933+00
54,17,8,2023-11-18 15:35:44.617933+00
55,17,1,2023-11-18 15:35:44.617933+00
56,18,1,2023-11-18 15:37:12.65187+00
57,18,8,2023-11-18 15:37:12.65187+00
58,19,1,2023-11-18 15:38:09.653825+00
62,20,1,2023-11-18 15:41:51.681422+00
63,20,6,2023-11-18 15:41:51.681422+00
64,20,11,2023-11-18 15:41:51.681422+00
65,20,13,2023-11-18 15:41:51.681422+00
66,21,2,2023-11-18 15:57:39.250651+00
67,21,13,2023-11-18 15:57:39.250651+00
68,21,4,2023-11-18 15:57:39.250651+00
69,21,6,2023-11-18 15:57:39.250651+00
70,22,4,2023-11-18 15:58:40.549854+00
71,22,5,2023-11-18 15:58:40.549854+00
72,22,11,2023-11-18 15:58:40.549854+00
73,22,6,2023-11-18 15:58:40.549854+00
74,23,2,2023-11-18 15:59:41.555587+00
75,23,8,2023-11-18 15:59:41.555587+00
76,23,7,2023-11-18 15:59:41.555587+00
77,23,9,2023-11-18 15:59:41.555587+00
78,24,4,2023-11-18 16:00:25.078743+00
79,24,3,2023-11-18 16:00:25.078743+00
80,24,5,2023-11-18 16:00:25.078743+00
81,24,11,2023-11-18 16:00:25.078743+00
82,25,4,2023-11-18 16:01:18.179878+00
83,25,5,2023-11-18 16:01:18.179878+00
84,26,10,2023-11-18 16:02:10.759292+00
85,26,9,2023-11-18 16:02:10.759292+00
86,26,2,2023-11-18 16:02:10.759292+00
87,26,7,2023-11-18 16:02:10.759292+00
88,27,13,2023-11-18 16:07:18.562155+00
89,27,1,2023-11-18 16:07:18.562155+00
90,28,1,2023-11-18 16:08:40.482978+00
91,28,13,2023-11-18 16:08:40.482978+00
92,28,6,2023-11-18 16:08:40.482978+00
93,29,1,2023-11-18 16:09:29.451749+00
94,29,13,2023-11-18 16:09:29.451749+00
95,29,6,2023-11-18 16:09:29.451749+00
96,30,1,2023-11-18 16:09:54.309601+00
97,30,13,2023-11-18 16:09:54.309601+00
98,31,1,2023-11-18 16:10:30.235326+00
99,31,13,2023-11-18 16:10:30.235326+00
100,32,1,2023-11-18 16:10:56.165184+00
101,32,13,2023-11-18 16:10:56.165184+00
102,33,1,2023-11-18 16:11:48.964722+00
103,33,13,2023-11-18 16:11:48.964722+00
104,33,12,2023-11-18 16:11:48.964722+00
105,33,11,2023-11-18 16:11:48.964722+00
106,34,13,2023-11-18 16:12:59.910247+00
107,34,6,2023-11-18 16:12:59.910247+00
108,34,11,2023-11-18 16:12:59.910247+00
109,34,12,2023-11-18 16:12:59.910247+00
110,35,1,2023-11-18 16:13:58.80195+00
111,35,13,2023-11-18 16:13:58.80195+00
112,35,6,2023-11-18 16:13:58.80195+00
113,36,4,2023-11-18 16:15:13.345431+00
114,36,5,2023-11-18 16:15:13.345431+00
115,36,11,2023-11-18 16:15:13.345431+00
116,37,7,2023-11-18 16:16:12.735001+00
117,37,8,2023-11-18 16:16:12.735001+00
118,38,4,2023-11-18 16:17:34.141463+00
119,38,5,2023-11-18 16:17:34.141463+00
