id,name,image_url,created_at,island_id,slug
1,Aceh,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcTq1-lW7jiqnw0ZB2UJcXaqjQnQf0BPh4LfEgKSd4UpMfBi5xqTu7ZdCkt1D_HdSbMWAdPendbEnplUcFq9spP2cvSaAr6O,2023-10-24 08:41:10.41019+00,6,aceh
2,Sumatera Utara,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRdiazUG7cOjE3ZQGJ0UArUaXOze5KbHJzeEtO-rpumbV7dxZxatAnpD_PwtaD0GCELuOyu_6MU_uJZuFlW6UjyLnVjMcQC,2023-10-24 08:41:10.41019+00,6,sumatera-utara
3,Sumatera Barat,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQVTFFsbQEwq-8YbCKStOqgRAET1yV_HMseg2acUbqwu9SghHSSpLcFcOCWCEZVrxp5VZA8Vkcugo6tNG5lWlPyyC5gXwMq,2023-10-24 08:41:10.41019+00,6,sumatera-barat
4,Riau,https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcSvDiHNa18auymeADh_78PDr3YVee8L5WghjNLXjaRGG1VJZ8uCFoaJDCJXI-VSCMzBV26mprzJXqxRvWCBDa0-QrLIzP9w,2023-10-24 08:41:10.41019+00,6,riau
5,Sumatera Selatan,https://lh5.googleusercontent.com/p/AF1QipMSwZUSZHNkwZRt-SMxOPlPPAoN1wRXgtjUNVV7=w540-h312-n-k-no,2023-10-24 08:41:10.41019+00,6,sumatera-selatan
6,Lampung,https://lh5.googleusercontent.com/p/AF1QipM_zsIbqHLjt_bUGy6q0O4RksH4qqGBAc3Gf6nL=w540-h312-n-k-no,2023-10-24 08:41:10.41019+00,6,lampung
7,Bangka Belitung,https://lh5.googleusercontent.com/p/AF1QipOlY470_25PvWemwNbBDV6vncrsSJ6bgpGDMA_0=w540-h312-n-k-no,2023-10-24 08:41:10.41019+00,6,bangka-belitung
8,Kepulauan Riau,https://lh5.googleusercontent.com/p/AF1QipOBK7HZI_NNABbCwtHReC0HLiPExRjKliSRkdfE=w540-h312-n-k-no,2023-10-24 08:41:10.41019+00,6,kepulauan-riau
9,DKI Jakarta,https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSigjLsezrDVEkvsiOmd7Fay-2fXYzCgcF_A1dPH9-F6lDv9YNpvObTY90-E72yNAyhgRGtSTiEZfUjhaYmYhCy3Z-hOKRE,2023-10-24 08:41:10.41019+00,1,dki-jakarta
10,Jawa Barat,https://lh5.googleusercontent.com/p/AF1QipNFxyUaCKXIOFerN3M_3dJPSIHs6p13kxU0EweG=w540-h312-n-k-no,2023-10-24 08:41:10.41019+00,1,jawa-barat
